FIPS,UNEMP,INCOME,POP,
17181,8.1,"51,575","5,400",
17183,8.8,"46,295","44,630",
17185,8.3,"54,249","131,343",
17187,6.2,"53,621","17,244",
17189,5.3,"64,297","74,188",
17191,8.3,"51,829","11,361",
17193,7.6,"51,388","16,835",
17195,8.0,"50,880","13,761",
17197,9.5,"90,249","16,179",
17199,8.7,"56,958","13,877",
17201,11.4,"59,510","55,691",
17203,6.1,"77,117","696,355",
18000,7.1,"57,617","67,153",
18001,5.6,"53,532","285,350",
18003,7.7,"56,838","38,467",
18005,6.5,"71,181","6,785,528",
18007,5.2,"55,016","35,809",
18009,8.0,"46,811","385,410",
18011,4.3,"84,137","82,208",
18013,6.7,"59,617","8,719",
18015,6.0,"58,965","12,112",
18017,6.8,"51,777","70,812",
18019,7.2,"59,441","15,475",
18021,6.6,"54,349","20,306",
18023,5.6,"55,336","37,870",
18025,7.1,"44,332","121,093",
18027,3.8,"56,611","26,466",
18029,6.9,"71,351","33,190",
18031,7.5,"60,891","10,526",
18033,6.9,"59,714","33,381",
18035,7.3,"45,912","50,679",
18037,4.5,"63,869","26,472",
18039,7.5,"55,782","43,265",
18041,9.9,"48,499","111,903",
18043,6.5,"64,614","43,637",
18045,6.5,"55,337","207,047",
18047,5.9,"67,315","23,398",
18049,6.6,"55,011","80,484",
18051,6.2,"61,872","16,479",
18053,6.3,"47,509","22,785",
18055,6.2,"51,918","20,480",
18057,4.7,"107,710","33,011",
18059,5.6,"77,905","66,674",
18061,6.3,"64,270","30,803",
18063,5.0,"85,827","347,467",
18065,6.6,"49,293","79,840",
18067,10.9,"54,048","39,654",
18069,6.6,"54,565","174,788",
18071,7.2,"59,472","48,914",
18073,7.0,"65,352","83,658",
18075,6.6,"49,447","36,662",
18077,7.4,"53,378","46,428",
18079,7.6,"55,022","32,918",
18081,5.6,"74,427","20,478",
18083,5.9,"48,760","33,147",
18085,6.1,"64,677","27,613",
18087,6.4,"70,746","161,765",
18089,10.3,"57,280","36,282",
18091,9.5,"56,427","80,240",
18093,6.9,"56,261","40,446",
